crop_type,season,nitrogen,phosphorus,potassium,ph_level,temperature,humidity,rainfall,soil_moisture,fertilizer_type,fertilizer_quantity_kg_per_acre
rice,kharif,30,25,35,6.5,28,75,150,45,Urea,60
rice,kharif,25,20,30,6.2,30,80,120,50,Urea,65
rice,kharif,35,28,40,6.8,26,70,180,40,Urea,55
wheat,rabi,40,35,45,7.0,22,65,50,60,DAP,55
wheat,rabi,45,38,48,7.2,20,60,40,65,DAP,50
wheat,rabi,38,32,42,6.9,24,68,60,55,DAP,58
maize,kharif,35,30,40,6.7,26,72,100,50,NPK,52
maize,kharif,32,28,38,6.5,28,75,90,48,NPK,54
maize,kharif,38,32,42,6.8,25,70,110,52,NPK,50
cotton,kharif,42,35,50,7.1,30,65,80,55,MOP,48
cotton,kharif,45,38,52,7.3,32,60,70,50,MOP,45
cotton,kharif,40,33,48,7.0,28,68,90,53,MOP,50
sugarcane,zaid,50,45,55,7.5,32,70,200,60,SSP,70
sugarcane,zaid,55,48,58,7.6,34,65,180,58,SSP,65
sugarcane,zaid,48,42,52,7.4,30,72,220,62,SSP,72
vegetables,rabi,30,25,35,6.6,24,75,40,70,NPK,40
vegetables,rabi,28,22,32,6.4,26,78,30,68,NPK,42
vegetables,rabi,32,28,38,6.7,22,72,50,72,NPK,38
fruits,kharif,25,20,30,6.3,28,80,100,65,SSP,35
fruits,kharif,22,18,28,6.1,30,82,80,63,SSP,38
fruits,kharif,28,23,33,6.4,26,78,120,67,SSP,33
rice,rabi,32,27,37,6.6,20,65,30,55,Urea,58
wheat,kharif,36,31,41,6.9,26,75,100,52,DAP,53
maize,rabi,34,29,39,6.7,22,68,20,58,NPK,56
cotton,rabi,38,32,45,7.0,25,70,25,60,MOP,52
rice,kharif,28,23,33,6.3,29,78,140,47,Urea,62
wheat,rabi,42,36,46,7.1,18,62,35,62,DAP,48
maize,kharif,30,26,36,6.5,27,73,95,49,NPK,55
cotton,kharif,44,37,51,7.2,31,63,75,52,MOP,46
sugarcane,kharif,52,46,56,7.5,33,68,190,61,SSP,68
vegetables,zaid,26,21,31,6.4,28,76,35,66,NPK,41
fruits,rabi,24,19,29,6.2,24,75,45,64,SSP,36
rice,kharif,33,28,38,6.7,27,73,130,46,Urea,57
wheat,rabi,39,34,44,7.0,21,64,45,59,DAP,52
maize,kharif,36,31,41,6.8,24,71,105,51,NPK,51
cotton,kharif,41,34,49,7.1,29,66,85,54,MOP,49
sugarcane,zaid,53,47,57,7.6,32,69,205,59,SSP,69
vegetables,rabi,31,26,36,6.6,23,74,42,69,NPK,39
fruits,kharif,27,22,32,6.4,29,79,110,66,SSP,34
rice,kharif,31,26,36,6.4,28,76,125,48,Urea,59
wheat,rabi,37,32,42,6.8,19,66,38,61,DAP,54
maize,kharif,34,29,39,6.6,25,72,98,50,NPK,53
cotton,kharif,43,36,50,7.2,30,64,78,53,MOP,47
sugarcane,zaid,51,45,55,7.4,31,71,195,60,SSP,71
vegetables,rabi,29,24,34,6.5,25,77,38,71,NPK,40
fruits,kharif,26,21,31,6.3,27,81,95,65,SSP,37
