crop_type,season,nitrogen,phosphorus,potassium,ph_level,temperature,humidity,rainfall,soil_moisture,water_required_liters_per_day_per_acre
rice,kharif,33.0,21.5,37.8,6.6,28.7,71.2,144.3,50.7,5001
rice,kharif,31.5,20.5,37.2,6.8,26.0,81.9,166.4,59.6,4132
rice,kharif,25.2,24.2,34.0,6.2,31.8,72.8,92.7,59.8,4685
rice,kharif,34.8,23.7,38.6,6.6,28.7,70.2,211.9,58.0,4902
rice,kharif,25.2,21.8,32.4,6.6,29.7,80.0,104.3,52.5,4589
rice,kharif,32.6,23.4,32.1,6.5,26.2,80.1,143.0,52.6,4478
rice,kharif,32.3,22.6,35.7,6.5,31.8,80.1,184.6,57.3,4690
rice,kharif,34.7,24.9,32.8,6.4,27.0,70.2,139.3,52.6,4854
rice,rabi,33.2,25.7,37.3,6.7,18.6,65.4,24.6,67.6,4866
rice,rabi,28.3,20.5,33.1,6.4,23.8,69.6,55.5,55.1,5332
rice,rabi,32.1,26.1,35.6,6.7,22.0,67.8,37.1,40.8,5755
rice,rabi,25.3,25.1,33.1,6.5,25.3,63.7,36.4,64.2,5433
rice,rabi,25.8,22.3,31.6,6.8,24.5,69.5,54.9,65.7,5015
rice,rabi,33.9,24.3,38.1,6.7,20.5,61.7,29.1,53.7,5784
rice,rabi,33.6,20.1,35.1,6.5,19.8,61.8,33.5,70.2,5011
rice,rabi,30.2,25.6,33.6,6.8,25.7,63.8,39.9,49.6,5734
wheat,rabi,39.9,37.9,44.5,6.9,20.8,69.5,47.2,57.0,2595
wheat,rabi,41.9,35.6,42.5,7.0,19.9,72.0,38.8,71.5,2463
wheat,rabi,43.7,36.8,42.9,7.1,23.6,72.9,33.0,47.0,3033
wheat,rabi,43.7,34.1,42.6,7.3,21.2,67.8,53.5,61.6,2588
wheat,rabi,39.5,35.2,46.2,7.0,19.4,74.7,40.7,48.3,2563
wheat,rabi,44.8,35.3,47.3,7.0,20.2,70.5,53.9,67.4,2322
wheat,kharif,42.5,32.5,43.0,7.3,29.6,70.1,94.2,61.2,2563
wheat,kharif,39.1,35.3,46.2,7.2,27.3,78.5,113.2,50.4,2379
wheat,kharif,42.5,37.1,45.9,7.1,26.6,74.4,117.1,47.8,2355
wheat,kharif,40.8,37.4,45.8,7.2,29.0,76.9,149.0,46.2,2638
wheat,kharif,40.0,32.1,45.9,7.0,31.6,81.4,208.1,51.8,2587
wheat,kharif,44.5,34.6,47.8,7.3,31.1,73.5,133.9,67.2,2536
maize,kharif,34.5,31.6,40.2,6.5,26.6,77.4,218.6,44.5,3346
maize,kharif,37.0,30.4,40.2,6.6,28.2,73.5,193.3,65.9,3173
maize,kharif,37.3,29.1,39.0,6.7,29.9,78.4,191.4,68.5,3243
maize,kharif,33.0,26.6,39.5,6.2,28.8,76.5,120.1,58.9,3227
maize,kharif,30.3,30.9,38.2,6.3,29.1,79.2,110.2,59.9,3046
maize,kharif,30.4,29.2,39.2,6.6,30.4,81.7,152.3,50.3,3294
maize,kharif,32.2,28.6,36.5,6.2,31.8,80.0,177.4,53.1,3409
maize,rabi,33.5,27.4,36.6,6.3,25.5,69.6,40.7,61.0,3945
maize,rabi,35.8,26.3,39.4,6.3,19.0,65.1,23.7,43.0,3762
maize,rabi,37.8,27.1,36.1,6.7,24.5,65.2,38.6,60.8,3769
maize,rabi,37.6,31.3,37.6,6.2,25.5,67.5,41.6,61.9,3787
maize,rabi,37.6,31.7,41.2,6.6,24.4,70.2,42.9,44.1,3870
maize,rabi,36.6,29.8,40.9,6.6,19.7,64.1,28.6,52.1,3894
cotton,kharif,43.4,33.4,49.3,7.2,26.1,79.8,119.5,43.8,2836
cotton,kharif,43.1,37.4,50.9,7.2,27.7,72.1,185.1,65.8,2936
cotton,kharif,42.1,34.9,51.1,7.0,31.6,80.3,140.1,64.0,2986
cotton,kharif,40.5,37.5,50.0,7.2,27.9,80.7,134.5,40.3,3053
cotton,kharif,40.5,34.6,51.8,7.3,29.4,77.6,142.8,49.4,3180
cotton,kharif,43.4,36.8,51.2,7.2,26.5,75.9,88.1,57.6,2854
cotton,kharif,44.4,34.8,48.5,7.0,30.6,77.4,94.2,42.7,3309
cotton,rabi,42.0,37.5,48.6,7.1,19.9,68.7,54.5,68.2,2892
cotton,rabi,44.5,36.0,49.4,7.2,21.9,65.7,48.2,48.0,3366
cotton,rabi,42.2,34.3,49.6,7.1,23.9,71.5,52.9,63.8,3344
cotton,rabi,41.2,35.0,49.9,6.9,22.2,66.5,52.1,71.3,2997
cotton,rabi,41.6,33.2,51.7,7.3,20.0,70.4,23.0,45.3,3401
cotton,rabi,41.5,38.0,50.8,7.1,23.9,73.7,58.3,41.9,3430
cotton,rabi,40.5,34.7,48.7,7.2,21.1,63.4,30.6,51.5,3437
sugarcane,zaid,52.9,45.2,53.9,7.3,34.1,66.1,243.8,66.3,7560
sugarcane,zaid,53.1,45.7,54.5,7.5,35.2,65.3,181.8,52.0,7833
sugarcane,zaid,54.9,42.9,55.6,6.6,35.8,70.9,238.7,55.0,7955
sugarcane,zaid,49.9,42.3,57.2,7.3,36.0,72.0,218.9,64.6,7516
sugarcane,zaid,53.9,43.5,54.7,6.2,35.7,69.2,196.0,61.5,7601
sugarcane,zaid,50.5,42.7,56.0,6.8,34.6,68.6,239.7,57.7,7847
sugarcane,zaid,54.1,44.4,52.8,6.0,34.5,69.3,229.3,46.8,7683
sugarcane,zaid,48.1,44.1,55.5,6.6,32.6,71.3,204.4,56.4,7509
sugarcane,kharif,52.4,47.2,57.7,6.2,31.6,75.9,116.2,54.7,6667
sugarcane,kharif,51.4,44.0,55.8,6.4,26.5,71.5,97.9,44.9,6671
sugarcane,kharif,52.5,43.1,54.1,7.4,28.8,78.0,104.1,46.2,6542
sugarcane,kharif,49.2,43.7,53.1,6.1,26.7,75.5,108.9,51.7,6428
sugarcane,kharif,52.8,42.2,56.8,7.0,26.5,80.5,208.9,42.0,6192
sugarcane,kharif,53.6,46.5,53.1,6.3,28.2,75.8,166.6,51.8,6799
sugarcane,kharif,53.2,42.2,53.5,7.1,31.4,76.1,154.5,43.4,7414
vegetables,rabi,29.6,22.6,36.4,6.3,22.5,72.6,23.6,57.1,2354
vegetables,rabi,29.4,24.8,34.1,7.0,21.8,68.8,49.5,57.8,1978
vegetables,rabi,30.3,24.3,34.0,7.4,22.9,63.7,39.9,50.6,2325
vegetables,rabi,28.0,23.4,34.2,6.8,24.8,61.3,52.2,41.8,2370
vegetables,rabi,28.2,22.1,36.2,7.6,25.2,68.6,56.7,40.2,2238
vegetables,rabi,30.0,26.3,36.9,7.1,22.3,67.1,53.5,46.6,2108
vegetables,rabi,30.8,23.2,36.4,6.8,23.7,71.5,23.5,56.2,2311
vegetables,rabi,29.3,25.6,34.2,6.7,22.4,68.2,28.1,61.9,2272
vegetables,zaid,30.7,26.6,35.6,6.8,32.5,67.4,245.1,66.6,2079
vegetables,zaid,28.5,26.4,37.6,6.3,30.4,70.2,220.2,66.9,1943
vegetables,zaid,31.2,23.2,33.0,6.3,34.9,69.7,216.6,51.5,2142
vegetables,zaid,29.6,26.9,34.6,6.6,32.8,67.1,232.3,56.1,2063
vegetables,zaid,31.6,24.3,35.3,7.5,33.7,65.8,245.8,60.1,2063
vegetables,zaid,28.6,26.8,35.7,6.9,35.4,70.5,190.6,50.0,2363
vegetables,zaid,31.0,22.2,35.4,7.2,35.3,67.4,237.5,43.5,2230
vegetables,zaid,28.5,24.4,36.8,6.2,31.4,70.1,230.4,60.5,1954
fruits,kharif,23.5,19.7,28.9,7.5,29.5,74.8,144.7,70.3,1553
fruits,kharif,25.5,20.5,31.1,6.0,31.2,81.2,159.1,62.3,1670
fruits,kharif,26.2,18.8,30.9,7.0,28.5,78.8,210.8,69.6,1592
fruits,kharif,22.7,22.9,32.2,6.2,31.5,80.4,152.6,58.9,1705
fruits,kharif,22.3,19.7,32.0,6.0,28.0,74.8,155.2,69.4,1573
fruits,kharif,24.1,21.7,30.3,6.4,28.7,71.7,104.7,55.9,1677
fruits,kharif,27.5,19.8,30.9,7.0,26.1,78.0,104.9,70.8,1394
fruits,rabi,27.2,20.7,28.9,6.5,20.5,66.0,37.1,65.6,1849
fruits,rabi,24.8,21.1,29.9,7.3,22.7,64.4,48.6,56.9,1893
fruits,rabi,24.9,20.5,31.8,6.2,20.7,61.1,50.1,48.7,1868
fruits,rabi,25.2,22.0,32.9,7.3,24.9,66.1,42.1,48.1,2078
fruits,rabi,25.0,21.0,29.7,6.9,25.1,68.4,48.8,65.8,1875
fruits,rabi,25.6,22.0,32.8,7.5,19.1,66.1,33.0,42.8,1913
fruits,rabi,26.4,22.2,28.6,7.4,23.1,70.6,56.4,60.0,1807
